Reg.-Nr.	Gebiet	Bereich	Leitgemeinde	Wiki-ID (Leitgemeinde)	Großlage	Einzellage	ha	über NN	Neigung	Exposition
6.5.1.046	Mosel	Saar	Serrig	Q656819	Scharzberg	Schloß Saarsteiner	8	135-235	hängig-steil	W
6.5.1.047	Mosel	Saar	Serrig	Q656819	Scharzberg	Schloß Saarsteiner Schloßberg	6	175-240	hängig-steil	SW
6.5.1.048	Mosel	Saar	Serrig	Q656819	Scharzberg	Vogelsang	13	140-310	hängig-steil	SO-S
6.5.1.049	Mosel	Saar	Serrig	Q656819	Scharzberg	W�rtzberg	5	160-280	steil	SO
6.5.1.050	Mosel	Saar	Wawern	Q565310	Scharzberg	Goldberg	8	170-263	hängig-steil	S-SW
6.5.1.051	Mosel	Saar	Wawern	Q565310	Scharzberg	Herrenberger	3	170-263	hängig-steil	S
6.5.1.052	Mosel	Saar	Wawern	Q565310	Scharzberg	Jesuitenberg	1	180-263	hängig-steil	SSO
6.5.1.053	Mosel	Saar	Wawern	Q565310	Scharzberg	Ritterpfad	10	170-263	hängig-steil	SO-SW
6.5.1.054	Mosel	Saar	Wiltingen	Q161930	Scharzberg	Braune Kupp	4	135-280	hängig-steil	SSW
6.5.1.055	Mosel	Saar	Wiltingen	Q161930	Scharzberg	Braunfels	19	150-320	hängig-steil	SW+W
6.5.1.056	Mosel	Saar	Wiltingen	Q161930	Scharzberg	Gottesfu�	3	160-260	steil	WSW-W
6.5.1.057	Mosel	Saar	Wiltingen	Q161930	Scharzberg	H�lle	2	135-180	hängig-steil	SSO
6.5.1.058	Mosel	Saar	Wiltingen	Q161930	Scharzberg	Klosterberg	42	160-310	hängig-steil	SW-W
6.5.1.059	Mosel	Saar	Serrig	Q656819	Scharzberg	Kupp	7	160-200	hängig	S
6.5.1.060	Mosel	Saar	Wiltingen	Q161930	Scharzberg	Rosenberg	23	160-290	hängig	WSW
6.5.1.061	Mosel	Saar			Scharzberg		28	150-200	hängig-steil	O
6.5.1.062	Mosel	Saar	Wiltingen	Q161930	Scharzberg	Schlangengraben	27	150-230	hängig-steil	OSO-S
6.5.1.063	Mosel	Saar	Wiltingen	Q161930	Scharzberg	Schloßberg	3	150-200	hängig-steil	O
6.5.1.064	Mosel	Saar	Pellingen	Q655962	Scharzberg	Herrgottsrock	1	300-370	hängig-steil	SO
6.5.1.065	Mosel	Saar	Saarburg	Q543639	Scharzberg	Laurentiusberg	1	170-210	hängig	W
6.5.1.066	Mosel	Saar	Niederleuken	Q543639	Scharzberg	Stirn	1	170-200	steil	OSO
6.6.	Mosel	Moseltor					113			
6.6.1.	Mosel	Moseltor			Schloß B�bingen		111	151-275		
6.6.1.525	Mosel	Moseltor	Perl	Q662505	Schloß B�bingen	Hasenberg	13	180-240	hängig	W
6.6.1.524	Mosel	Moseltor	Perl	Q662505	Schloß B�bingen	Quiriniusberg	25	162-212	hängig	SW-W
6.6.1.522	Mosel	Moseltor	Sehndorf	Q2266381	Schloß B�bingen	Klosterberg	16	162-207	hängig	S-W
6.2.1.164	Mosel	Moseltor	Sehndorf	Q2266381	Schloß B�bingen	Marienberg	24	225-275	hängig	S-W
6.6.1.520	Mosel	Moseltor	Nennig	Q316804	Schloß B�bingen	Schloßberg	22	151-160	hängig	
6.6.1.521	Mosel	Moseltor	Nennig	Q316804	Schloß B�bingen	R�merberg	11	190-220	hängig	S-W
